Name,Team,Level,GP,G,A,P
EsaiahRAmezquita,SantaClaraBlackhawks,10B,21,24,18,42,0
SergeyMirolyantsJr,SantaClaraBlackhawks,10A,11,2,3,5,0
SergeyMirolyantsJr,SantaClaraBlackhawks,10B,6,6,1,7,0
DaiwikAnand,SantaClaraBlackhawks,10B,20,12,7,19,0
NoahNewman,SantaClaraBlackhawks,10B,22,4,1,5,0
EtaiGandler,SantaClaraBlackhawks,10B,20,9,7,16,0
GeorgeRGass,SantaClaraBlackhawks,10B,22,9,8,17,0
EthanWu,SantaClaraBlackhawks,10B,22,11,9,20,0
BronwynZhao,SantaClaraBlackhawks,10B,20,0,1,1,0
SkilesRGeraci,SantaClaraBlackhawks,10B,20,5,4,9,0
EthanZZhu,SantaClaraBlackhawks,10B,21,34,15,49,0
AsaOGrant,SantaClaraBlackhawks,10B,22,10,14,24,0
IanYZhu,SantaClaraBlackhawks,10B,22,4,4,8,0
LilyKantrovitz,SantaClaraBlackhawks,10B,18,2,4,6,0
DavidEBaker,VacavilleJets,10B,24,2,2,4,0
JackEMeador,VacavilleJets,10B,23,19,4,23,0
HaydenCBrunke,VacavilleJets,10B,26,3,4,7,0
EliMeis,VacavilleJets,10B,26,9,2,11,0
AustinKCohen,VacavilleJets,10B,24,14,7,21,0
YuriyRPawluk,VacavilleJets,10B,26,6,5,11,0
AlleoLReyes,VacavilleJets,10B,1,0,0,0,25
ConnorAHorn,VacavilleJets,10B,26,5,1,6,0
NicholasARoss,VacavilleJets,10B,25,8,9,17,0
DeclanCKing,VacavilleJets,10B,22,3,3,6,0
SilasASigmon,VacavilleJets,10B,26,5,7,12,0
ColtonJKouri,VacavilleJets,10B,25,15,7,22,0
LeonardoJSpacco,VacavilleJets,10B,23,2,2,4,0
NyreeChitale,OaklandBears,10B,18,7,5,12,0
KyleGCronin,OaklandBears,10B,25,6,7,13,0
DavidLSingh,OaklandBears,10B,24,3,8,11,0
YanDrobysh,OaklandBears,10B,22,35,13,48,0
CharlieOSmith,OaklandBears,10B,24,13,7,20,0
MargaretDEidt,OaklandBears,10B,21,1,9,10,0
TravisFTsai,OaklandBears,10B,24,1,10,11,0
JacksonFong,OaklandBears,10B,25,4,17,21,0
RoryTWalter,OaklandBears,10B,19,8,7,15,0
JasonFong,OaklandBears,10B,25,9,8,17,0
OliverPWelborn,OaklandBears,10B,2,0,0,0,23
CollinJFreeman,OaklandBears,10B,19,3,6,9,0
JacksonRHite,OaklandBears,10B,25,14,6,20,0
CasperJWu,OaklandBears,10B,23,5,3,8,0
GabrielAArreguin,CupertinoCougars,10BB,25,1,1,2,0
LucasSJackson,CupertinoCougars,10BB,25,3,4,7,0
JayKim,CupertinoCougars,10BB,25,0,1,1,0
AlexanderPMackenzie,CupertinoCougars,10BB,23,12,7,19,0
JacobSBae,CupertinoCougars,10BB,22,3,9,12,0
KazuhiroJMitra-Kozuka,CupertinoCougars,10BB,8,1,2,3,16
TimothyChan,CupertinoCougars,10BB,23,0,2,2,2
NicholasMyagkov,CupertinoCougars,10BB,22,1,3,4,0
EvanChoy,CupertinoCougars,10BB,25,11,15,26,0
RaidenCReynolds,CupertinoCougars,10BB,25,10,3,13,0
CruzWDelrio,CupertinoCougars,10BB,22,4,5,9,0
DevinMThai,CupertinoCougars,10BB,23,13,12,25,0
SebastianLDuarte,CupertinoCougars,10BB,8,0,3,3,15
Li-AnYe,CupertinoCougars,10BB,21,4,2,6,0
CalvinFarhi,CupertinoCougars,10BB,22,10,10,20,0
